id_sample;APOC1;MERTK;CMTM3;XPR1;H2BC5;MSMO1;TMEM97;IFFO2;FAM89A;CTSH;DOK4;ARFGEF3;FOXA1;NCF2;SNORD62B;PYGB;H3P6;DGUOK-AS1;APOE;IGLV7-46;NES;STOM;ELN;ERRFI1;IL1RN;FZD5;LIMK2;IER5;RNU6-850P;CTSW;CHCHD2P9;LGALS2;RPS2P46;KDM7A-DT;FLVCR2;PRC1;FOXM1;MICAL1;MHENCR;CELSR2;SEZ6L2;SORD;SNAI1;MELK;MMP12;SOX9;APBA2;NFIB;GRK5;TMEM150B;tissue_status;source;class
TCGA-50-5933-11A;7.176277;2.275275;3.353807;3.045644;2.149483;6.186032;3.904178;3.048047;3.29711;7.122046;3.409111;3.887043;4.043122;5.006716;2.401595;4.811274;2.439858;0.868056;5.727344;2.017983;4.671759;8.006867;4.367116;6.732437;5.181714;3.753579;4.016593;5.628985;0.291075;3.19706;2.318785;7.345894;1.416253;3.483812;3.220887;0.881154;0.513702;3.113649;1.233322;1.18374;3.167262;1.199927;2.853521;0.209938;0.4397;3.233092;0.538576;3.318587;3.741437;2.380531;normal;TCGA-LUAD;NTL
TCGA-91-6849-11A;6.713278;2.413065;3.965245;2.796506;2.238217;5.514855;3.508036;2.759805;3.578644;7.308271;3.421337;3.22124;3.445403;4.537514;1.352116;5.266724;1.478773;1.109638;6.457333;3.286667;5.412308;7.925651;5.479584;6.349;2.02721;3.857779;4.013562;4.070426;1.199478;3.70935;2.265209;7.141211;1.725276;1.788642;2.980152;1.189715;0.801434;3.427795;1.755239;1.103681;2.203741;1.167858;3.033548;0.295276;0.169553;3.117443;0.833931;3.964123;4.874349;1.972147;normal;TCGA-LUAD;NTL
TCGA-55-6980-11A;6.825955;2.441637;3.905746;2.653491;2.392047;5.620927;4.256929;2.797818;2.670668;7.358058;4.098997;2.940121;3.212673;4.818901;0.976032;5.190004;2.524876;1.200359;5.735718;5.747062;4.9133;7.131964;4.647239;5.084096;2.672806;3.589076;4.015314;3.664098;0.853946;3.261161;0.125904;7.200017;1.213255;1.382619;3.013607;0.934092;0.527451;3.580329;2.16293;1.474019;3.386796;1.147494;2.449994;0.249245;0.26268;2.092665;0.807901;3.536968;4.165279;2.734671;normal;TCGA-LUAD;NTL
TCGA-56-8082-11A;5.500468;1.617238;4.40809;2.715028;1.669078;5.315565;2.749967;2.789296;3.362878;6.708373;3.028563;2.276683;2.567451;4.686027;1.944495;4.793833;2.589182;1.060612;4.766798;3.575916;5.475241;8.376752;5.409104;7.063096;6.497117;3.012718;5.123373;5.484653;0.260909;3.794479;1.409651;7.135147;1.5906;2.560377;2.830532;0.716359;0.201685;3.242027;1.395833;0.817399;1.833269;0.949766;3.927665;0.145126;0.627394;2.508607;0.723319;3.097637;4.758984;1.403206;normal;TCGA-LUSC;NTL
TCGA-38-4627-11A;8.580449;1.753912;4.805419;2.244217;2.184335;6.652781;3.564271;1.488388;4.890633;7.514278;4.078566;1.307607;2.134845;5.609872;0.827763;4.922672;3.473452;0.358958;6.880222;5.371223;5.391634;8.024282;6.50763;4.459046;3.681512;2.558596;3.048391;3.596547;0.0;4.028021;3.045924;8.582793;2.015835;1.732983;3.22867;1.049298;0.660309;2.73636;1.486813;0.526802;2.304591;1.399181;2.308243;0.70776;0.221516;1.101663;1.061183;3.269278;3.598568;3.612418;normal;TCGA-LUAD;NTL
TCGA-56-7731-11A;7.153789;1.709857;4.25066;2.717826;1.698792;6.695221;3.887204;1.941132;3.784736;7.219914;3.347641;2.775379;2.924099;4.895984;1.261195;4.890027;2.577531;0.935599;6.930259;0.738696;5.248944;8.115891;5.694661;6.847847;5.112815;3.346565;4.013583;4.698499;0.414949;4.222004;2.648274;7.189931;3.19893;2.30792;3.093389;0.89806;0.615882;3.191963;1.358462;0.547359;2.739644;1.112364;3.142078;0.302761;1.68128;1.702608;0.800798;3.040257;3.875147;1.897299;normal;TCGA-LUSC;NTL
TCGA-77-7138-11A;6.988197;2.669932;3.824333;2.395687;2.598582;4.972775;3.4897;2.34599;3.181645;7.622277;4.205258;3.088163;3.250408;5.402754;1.654857;4.992413;1.48471;1.409139;5.26836;2.739895;4.915663;7.369043;4.327861;4.502227;2.749146;3.369779;3.631912;3.549464;0.923812;3.868764;1.778912;7.443886;1.847492;1.292468;3.184866;0.865756;0.626529;3.525279;2.093742;1.270069;3.218367;1.171688;2.02473;0.388805;0.080693;2.142969;0.696925;3.62187;4.305162;3.045315;normal;TCGA-LUSC;NTL
TCGA-22-5483-11A;7.470109;2.144425;3.787431;2.378635;1.642165;6.961434;3.907065;2.633861;2.977468;7.294387;3.797729;3.134608;3.004562;5.045557;0.774198;5.123268;3.79235;1.017133;6.868473;2.204549;4.759367;7.336957;3.966514;5.215461;3.616476;3.83644;3.774925;3.63922;0.199441;2.888451;1.363953;7.073585;2.520651;1.937143;2.958391;2.115424;2.191864;2.485672;1.150615;1.388137;3.651871;1.207319;2.642474;1.154943;1.756741;1.671191;0.649938;3.084748;3.404582;2.832708;normal;TCGA-LUSC;NTL
TCGA-43-6773-11A;6.943008;3.420332;3.760474;2.787283;3.600142;5.119552;2.97126;2.213708;3.614944;6.672043;2.891608;2.475116;2.990697;5.968994;0.749252;5.005631;3.379021;0.716452;6.788965;4.065447;4.981458;8.126301;5.903175;5.46091;3.915642;2.805908;3.854288;3.905219;0.649419;4.081152;1.861002;7.128358;1.994338;1.610934;3.381583;1.129008;0.905036;3.412488;1.321182;1.33874;2.780346;1.539202;4.477272;0.791048;0.49183;2.933046;1.058451;3.859724;3.459574;3.325515;normal;TCGA-LUSC;NTL
TCGA-56-7582-11A;7.743615;2.562205;4.49226;2.758358;2.114785;4.413821;3.244196;2.671566;4.178639;7.145426;4.385554;2.27156;2.960057;5.478701;2.626866;5.118128;2.208896;1.106761;7.685659;0.309469;5.036982;7.223013;6.577157;4.493645;1.718736;2.697791;3.822978;3.199937;1.227393;2.98737;2.148607;7.506897;1.742925;1.441382;2.535963;1.427291;1.295156;3.821856;2.244087;1.543243;2.470431;1.532012;3.061463;0.719406;1.172097;2.450774;1.199298;4.254726;4.543063;2.866186;normal;TCGA-LUSC;NTL
